num_models,num_samples,attack_type,num_epochs,n_estimators,best_models,intermediate_models,rounds,input_size,batch_ratio,hidden_sizes,first_dropout,middle_dropout,last_dropout,weight_decay,last_non_linearity,middle_non_linearity,non_linearity,input_transform,lr_alpha,lr_steps,input_size_freq,uncertainty_weights,compression,compression_parameter,seed,TN,FP,FN,TP,accuracy,precision,recall
3,500,rf,300,100,False,False,1000,32000,0.02,[6000],0.8,0.2,0.2,1e-06,relu,relu,relu,binarize,0.3,[10],32000,False,,,1,92,73,79,86,0.5393939393939394,0.5408805031446541,0.5212121212121212
3,500,gb,300,100,False,False,1000,32000,0.02,[6000],0.8,0.2,0.2,1e-06,relu,relu,relu,binarize,0.3,[10],32000,False,,,1,78,87,77,88,0.503030303030303,0.5028571428571429,0.5333333333333333
3,500,rf,300,100,False,False,1000,32000,0.02,[6000],0.8,0.2,0.2,1e-06,relu,relu,relu,binarize,0.3,[10],32000,False,,,2,93,72,79,86,0.5424242424242425,0.5443037974683544,0.5212121212121212
3,500,gb,300,100,False,False,1000,32000,0.02,[6000],0.8,0.2,0.2,1e-06,relu,relu,relu,binarize,0.3,[10],32000,False,,,2,87,78,72,93,0.5454545454545454,0.543859649122807,0.5636363636363636
3,500,rf,300,100,False,False,1000,32000,0.02,[6000],0.8,0.2,0.2,1e-06,relu,relu,relu,binarize,0.3,[10],32000,False,,,3,97,68,79,86,0.5545454545454546,0.5584415584415584,0.5212121212121212
3,500,rf,300,100,False,False,1000,32000,0.02,[6000],0.8,0.2,0.2,1e-06,relu,relu,relu,binarize,0.3,[10],32000,False,,,4,100,65,79,86,0.5636363636363636,0.5695364238410596,0.5212121212121212
3,500,gb,300,100,False,False,1000,32000,0.02,[6000],0.8,0.2,0.2,1e-06,relu,relu,relu,binarize,0.3,[10],32000,False,,,3,94,71,84,81,0.5303030303030303,0.5328947368421053,0.4909090909090909
3,500,rf,300,100,False,False,1000,32000,0.02,[6000],0.8,0.2,0.2,1e-06,relu,relu,relu,binarize,0.3,[10],32000,False,,,5,99,66,72,93,0.5818181818181818,0.5849056603773585,0.5636363636363636
3,500,gb,300,100,False,False,1000,32000,0.02,[6000],0.8,0.2,0.2,1e-06,relu,relu,relu,binarize,0.3,[10],32000,False,,,4,81,84,78,87,0.509090909090909,0.5087719298245614,0.5272727272727272
3,500,rf,300,100,False,False,1000,32000,0.02,[6000],0.8,0.2,0.2,1e-06,relu,relu,relu,binarize,0.3,[10],32000,False,,,6,89,76,71,94,0.5545454545454546,0.5529411764705883,0.5696969696969697
