num_samples,voting_threshold,rounds,input_size,hidden_sizes,middle_dropout,last_dropout,weight_decay,last_non_linearity,middle_non_linearity,non_linearity,input_transform,lr,lr_alpha,lr_steps,input_size_freq,uncertainty_weights,seed,output_size,batch_size,model_avg_auc_pr,model_avg_logloss,TN,FP,FN,TP,accuracy,precision,recall
50,0.5,1000,32000,[40],0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,0,309,1298,0.7077804231838264,0.6694078161691541,29,21,0,50,0.79,0.704225352112676,1.0
50,0.5,1000,32000,[40],0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,1,309,1298,0.7079178717058505,0.6706818760058774,38,12,0,50,0.88,0.8064516129032258,1.0
50,0.5,1000,32000,[40],0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,2,309,1298,0.7076256469591844,0.6700556061161047,25,25,0,50,0.75,0.6666666666666666,1.0
50,0.5,1000,32000,[40],0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,3,309,1298,0.7076695579241521,0.6700095328945064,36,14,0,50,0.86,0.78125,1.0
50,0.5,1000,32000,[40],0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,4,309,1298,0.7073745229087927,0.6681800328999503,37,13,0,50,0.87,0.7936507936507936,1.0
50,0.5,1000,32000,[40],0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,5,309,1298,0.7080521510586049,0.6703563572826317,36,14,0,50,0.86,0.78125,1.0
50,0.5,1000,32000,[40],0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,6,309,1298,0.7075153960034111,0.6683039779314439,27,23,0,50,0.77,0.684931506849315,1.0
50,0.5,1000,32000,[40],0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,7,309,1298,0.7079840460268217,0.6691724843038299,31,19,0,50,0.81,0.7246376811594203,1.0
50,0.5,1000,32000,[40],0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,8,309,1298,0.7076030190971814,0.669601720268794,32,18,0,50,0.82,0.7352941176470589,1.0
50,0.5,1000,32000,[40],0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,9,309,1298,0.7078613846328561,0.6687154390446782,32,18,0,50,0.82,0.7352941176470589,1.0
50,0.5,1000,32000,[40],0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,10,309,1298,0.7074855233251583,0.6700734243745072,31,19,0,50,0.81,0.7246376811594203,1.0
50,0.5,1000,32000,[40],0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,11,309,1298,0.7074197936674989,0.6680596430383919,35,15,0,50,0.85,0.7692307692307693,1.0
50,0.5,1000,32000,[40],0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,12,309,1298,0.7079009714329091,0.6684515203759769,33,17,0,50,0.83,0.746268656716418,1.0
50,0.5,1000,32000,[40],0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,13,309,1298,0.7080292137159463,0.6694090891618172,31,19,0,50,0.81,0.7246376811594203,1.0
50,0.5,1000,32000,[40],0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,14,309,1298,0.7079095214054112,0.6676613935485869,30,20,0,50,0.8,0.7142857142857143,1.0
50,0.5,1000,32000,[40],0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,15,309,1298,0.7079402922888072,0.6702488759949664,32,18,0,50,0.82,0.7352941176470589,1.0
50,0.5,1000,32000,[40],0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,16,309,1298,0.707621435494554,0.6700560944789931,35,15,0,50,0.85,0.7692307692307693,1.0
50,0.5,1000,32000,[40],0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,17,309,1298,0.7078433539633591,0.6696727800232453,34,16,0,50,0.84,0.7575757575757576,1.0
50,0.5,1000,32000,[40],0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,18,309,1298,0.7078412266346759,0.6686022002948431,36,14,0,50,0.86,0.78125,1.0
50,0.5,1000,32000,[40],0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,19,309,1298,0.7075236295461168,0.6684797363901773,34,16,0,50,0.84,0.7575757575757576,1.0
50,0.5,1000,32000,[40],0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,20,309,1298,0.7079207889475678,0.6667463362814603,32,18,0,50,0.82,0.7352941176470589,1.0
50,0.5,1000,32000,[40],0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,21,309,1298,0.7078276452153063,0.6699445377288781,33,17,0,50,0.83,0.746268656716418,1.0
50,0.5,1000,32000,[40],0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,22,309,1298,0.7077376069081098,0.6716729560320508,35,15,0,50,0.85,0.7692307692307693,1.0
50,0.5,1000,32000,[40],0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,23,309,1298,0.7078678164839469,0.6706215031040259,37,13,0,50,0.87,0.7936507936507936,1.0
50,0.5,1000,32000,[40],0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,24,309,1298,0.7076243072213358,0.6672734660224416,33,17,0,50,0.83,0.746268656716418,1.0
50,0.5,1000,32000,[40],0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,25,309,1298,0.7078726916337545,0.6680205463536119,35,15,0,50,0.85,0.7692307692307693,1.0
50,0.5,1000,32000,[40],0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,26,309,1298,0.7076646527962552,0.6677394577146436,28,22,0,50,0.78,0.6944444444444444,1.0
50,0.5,1000,32000,[40],0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,27,309,1298,0.7080712607275572,0.6688336494910248,38,12,0,50,0.88,0.8064516129032258,1.0
50,0.5,1000,32000,[40],0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,28,309,1298,0.7077267658827967,0.669025114127082,37,13,0,50,0.87,0.7936507936507936,1.0
50,0.5,1000,32000,[40],0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,29,309,1298,0.7079888478203094,0.6715141484784927,31,19,0,50,0.81,0.7246376811594203,1.0
50,0.5,1000,32000,[40],0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,30,309,1298,0.7075869459262353,0.668623132692319,36,14,0,50,0.86,0.78125,1.0
50,0.5,1000,32000,[40],0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,31,309,1298,0.7073224643112924,0.6669480584921511,32,18,0,50,0.82,0.7352941176470589,1.0
50,0.5,1000,32000,[40],0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,32,309,1298,0.7075068303551301,0.6708810023395979,34,16,0,50,0.84,0.7575757575757576,1.0
50,0.5,1000,32000,[40],0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,33,309,1298,0.7078837055598096,0.6702899543730682,29,21,0,50,0.79,0.704225352112676,1.0
50,0.5,1000,32000,[40],0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,34,309,1298,0.7073585037176148,0.6698077013774297,36,14,0,50,0.86,0.78125,1.0
50,0.5,1000,32000,[40],0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,35,309,1298,0.7076805555618069,0.6688576499261065,37,13,0,50,0.87,0.7936507936507936,1.0
50,0.5,1000,32000,[40],0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,36,309,1298,0.7077967835018824,0.6677939591057924,29,21,0,50,0.79,0.704225352112676,1.0
50,0.5,1000,32000,[40],0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,37,309,1298,0.7076855361129744,0.6696984463844483,33,17,0,50,0.83,0.746268656716418,1.0
50,0.5,1000,32000,[40],0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,38,309,1298,0.7079663083429798,0.669544772983252,35,15,0,50,0.85,0.7692307692307693,1.0
50,0.5,1000,32000,[40],0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,39,309,1298,0.7083426160791302,0.6682370958904358,30,20,0,50,0.8,0.7142857142857143,1.0
50,0.5,1000,32000,[40],0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,40,309,1298,0.7079016229377194,0.6704888580420316,40,10,0,50,0.9,0.8333333333333334,1.0
50,0.5,1000,32000,[40],0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,41,309,1298,0.7075880272096415,0.6677323104857747,35,15,0,50,0.85,0.7692307692307693,1.0
50,0.5,1000,32000,[40],0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,42,309,1298,0.7078039384657375,0.6699993608080851,33,17,0,50,0.83,0.746268656716418,1.0
50,0.5,1000,32000,[40],0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,43,309,1298,0.7079700091739054,0.667780457186403,24,26,0,50,0.74,0.6578947368421053,1.0
50,0.5,1000,32000,[40],0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,44,309,1298,0.7080019419822688,0.6700904439157869,28,22,0,50,0.78,0.6944444444444444,1.0
