num_samples,voting_threshold,rounds,input_size,batch_ratio,hidden_sizes,first_dropout,middle_dropout,last_dropout,weight_decay,last_non_linearity,middle_non_linearity,non_linearity,input_transform,lr,lr_alpha,lr_steps,input_size_freq,uncertainty_weights,compression,compression_parameter,seed,model_avg_auc_pr,model_avg_logloss,TN,FP,FN,TP,accuracy,precision,recall
50,0.5,1000,32000,0.04,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,0,0.7061385388552435,0.6674159590233486,11,39,0,50,0.61,0.5617977528089888,1.0
50,0.5,1000,32000,0.04,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,1,0.7061132769270884,0.667510133544641,22,28,0,50,0.72,0.6410256410256411,1.0
50,0.5,1000,32000,0.04,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,2,0.7056714572470704,0.6661142554709658,16,34,0,50,0.66,0.5952380952380952,1.0
50,0.5,1000,32000,0.04,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,3,0.7059918439585975,0.6686362561152107,15,35,0,50,0.65,0.5882352941176471,1.0
50,0.5,1000,32000,0.04,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,4,0.7054635556374477,0.6672088143442666,15,35,0,50,0.65,0.5882352941176471,1.0
50,0.5,1000,32000,0.04,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,5,0.7059649498621625,0.6672714326835043,17,33,0,50,0.67,0.6024096385542169,1.0
50,0.5,1000,32000,0.04,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,6,0.7061379435253622,0.6671352453280979,14,36,0,50,0.64,0.5813953488372093,1.0
50,0.5,1000,32000,0.04,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,7,0.7058829419107086,0.6668240661635709,14,36,0,50,0.64,0.5813953488372093,1.0
50,0.5,1000,32000,0.04,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,8,0.7057832998768029,0.6676101340437912,16,34,0,50,0.66,0.5952380952380952,1.0
50,0.5,1000,32000,0.04,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,9,0.7060951047507638,0.6660133132092653,15,35,0,50,0.65,0.5882352941176471,1.0
50,0.5,1000,32000,0.04,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,10,0.7062801471959823,0.6671901696576988,9,41,0,50,0.59,0.5494505494505495,1.0
50,0.5,1000,32000,0.04,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,11,0.7058238690359534,0.6664698576275339,14,36,0,50,0.64,0.5813953488372093,1.0
50,0.5,1000,32000,0.04,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,12,0.7056094511093989,0.6667923734369798,18,32,0,50,0.68,0.6097560975609756,1.0
50,0.5,1000,32000,0.04,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,13,0.7056368460275502,0.6672342010312294,14,36,0,50,0.64,0.5813953488372093,1.0
50,0.5,1000,32000,0.04,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,14,0.7060687081741062,0.6664502731870906,15,35,0,50,0.65,0.5882352941176471,1.0
50,0.5,1000,32000,0.04,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,15,0.7057146972796113,0.6672175366817006,15,35,0,50,0.65,0.5882352941176471,1.0
50,0.5,1000,32000,0.04,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,16,0.7050637059405025,0.6686800856064915,17,33,0,50,0.67,0.6024096385542169,1.0
50,0.5,1000,32000,0.04,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,17,0.7054294507114025,0.6669305814367188,14,36,0,50,0.64,0.5813953488372093,1.0
50,0.5,1000,32000,0.04,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,18,0.7060539341805464,0.6660035001074851,10,40,0,50,0.6,0.5555555555555556,1.0
50,0.5,1000,32000,0.04,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,19,0.7061201297343447,0.6664929844774751,15,35,0,50,0.65,0.5882352941176471,1.0
50,0.5,1000,32000,0.04,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,20,0.7054639130314678,0.6670425326707698,8,42,0,50,0.58,0.5434782608695652,1.0
50,0.5,1000,32000,0.04,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,21,0.7067013161228897,0.6648914024499,14,36,0,50,0.64,0.5813953488372093,1.0
50,0.5,1000,32000,0.04,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,22,0.7058806516122488,0.6671864614070921,7,43,0,50,0.57,0.5376344086021505,1.0
50,0.5,1000,32000,0.04,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,23,0.7059990513126899,0.6675576536336685,13,37,0,50,0.63,0.5747126436781609,1.0
50,0.5,1000,32000,0.04,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,24,0.7061255715588957,0.6670012622208028,15,35,0,50,0.65,0.5882352941176471,1.0
50,0.5,1000,32000,0.04,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,25,0.7055669308255832,0.6676637448650143,14,36,0,50,0.64,0.5813953488372093,1.0
50,0.5,1000,32000,0.04,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,26,0.7058293130028138,0.6682911454874583,10,40,0,50,0.6,0.5555555555555556,1.0
50,0.5,1000,32000,0.04,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,27,0.7062888227185706,0.6665980329527084,11,39,0,50,0.61,0.5617977528089888,1.0
50,0.5,1000,32000,0.04,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,28,0.7060573266826009,0.6662329076988233,13,37,0,50,0.63,0.5747126436781609,1.0
50,0.5,1000,32000,0.04,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,29,0.7055847131428021,0.6687838183132901,8,42,0,50,0.58,0.5434782608695652,1.0
50,0.5,1000,32000,0.04,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,30,0.7059198086677226,0.6664136541707341,16,34,0,50,0.66,0.5952380952380952,1.0
50,0.5,1000,32000,0.04,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,31,0.705855672657471,0.6670731560803503,17,33,0,50,0.67,0.6024096385542169,1.0
50,0.5,1000,32000,0.04,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,32,0.7059209687406645,0.6671217595202867,18,32,0,50,0.68,0.6097560975609756,1.0
50,0.5,1000,32000,0.04,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,33,0.7055893906115005,0.6674989488570907,12,38,0,50,0.62,0.5681818181818182,1.0
50,0.5,1000,32000,0.04,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,34,0.7057823791058282,0.6674254814456145,18,32,0,50,0.68,0.6097560975609756,1.0
50,0.5,1000,32000,0.04,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,35,0.7056758885241999,0.666346910139014,17,33,0,50,0.67,0.6024096385542169,1.0
50,0.5,1000,32000,0.04,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,36,0.7057589016062935,0.6666009591259152,11,39,0,50,0.61,0.5617977528089888,1.0
50,0.5,1000,32000,0.04,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,37,0.705599885774697,0.6655080437928774,16,34,0,50,0.66,0.5952380952380952,1.0
50,0.5,1000,32000,0.04,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,38,0.7057738276696348,0.6658983471740834,17,33,0,50,0.67,0.6024096385542169,1.0
50,0.5,1000,32000,0.04,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,39,0.705697508786753,0.6668020994485121,14,36,0,50,0.64,0.5813953488372093,1.0
50,0.5,1000,32000,0.04,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,40,0.706246019390421,0.6662433526963847,19,31,0,50,0.69,0.6172839506172839,1.0
50,0.5,1000,32000,0.04,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,41,0.7059164646765974,0.6652880770998522,13,37,0,50,0.63,0.5747126436781609,1.0
50,0.5,1000,32000,0.04,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,42,0.7057726566444853,0.6658281476220645,14,36,0,50,0.64,0.5813953488372093,1.0
50,0.5,1000,32000,0.04,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,43,0.7060823733320396,0.6669907385262417,15,35,0,50,0.65,0.5882352941176471,1.0
50,0.5,1000,32000,0.04,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,44,0.7053016002569201,0.6672686008195718,16,34,0,50,0.66,0.5952380952380952,1.0
50,0.5,1000,32000,0.04,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,45,0.7061275445869355,0.6657062893957327,12,38,0,50,0.62,0.5681818181818182,1.0
50,0.5,1000,32000,0.04,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,46,0.7057271889968414,0.6674142504650107,18,32,0,50,0.68,0.6097560975609756,1.0
50,0.5,1000,32000,0.04,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,47,0.705867792270343,0.6664806752238855,8,42,0,50,0.58,0.5434782608695652,1.0
50,0.5,1000,32000,0.04,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,48,0.7058826076937134,0.6669577638452019,16,34,0,50,0.66,0.5952380952380952,1.0
50,0.5,1000,32000,0.04,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,49,0.7058731604545546,0.6668854857161064,17,33,0,50,0.67,0.6024096385542169,1.0
50,0.5,1000,32000,0.06,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,0,0.7082724793747068,0.6673070384745446,2,48,0,50,0.52,0.5102040816326531,1.0
50,0.5,1000,32000,0.06,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,1,0.7080237482075987,0.6648954628474713,4,46,0,50,0.54,0.5208333333333334,1.0
50,0.5,1000,32000,0.06,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,2,0.7079876929092823,0.6670960136208118,5,45,0,50,0.55,0.5263157894736842,1.0
50,0.5,1000,32000,0.06,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,3,0.7079707391175865,0.6671064501408528,7,43,0,50,0.57,0.5376344086021505,1.0
50,0.5,1000,32000,0.06,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,4,0.7080407021731533,0.6663343425566325,4,46,0,50,0.54,0.5208333333333334,1.0
50,0.5,1000,32000,0.06,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,5,0.7081922890957308,0.6665445294678232,6,44,0,50,0.56,0.5319148936170213,1.0
50,0.5,1000,32000,0.06,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,6,0.7080011155393713,0.667886527780192,5,45,0,50,0.55,0.5263157894736842,1.0
50,0.5,1000,32000,0.06,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,7,0.7082888727506973,0.6658677785882403,2,48,0,50,0.52,0.5102040816326531,1.0
50,0.5,1000,32000,0.06,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,8,0.7080184275171959,0.6670899434195647,4,46,0,50,0.54,0.5208333333333334,1.0
50,0.5,1000,32000,0.06,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,9,0.7080453670610758,0.6652255269207613,4,46,0,50,0.54,0.5208333333333334,1.0
50,0.5,1000,32000,0.06,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,10,0.7081187837151394,0.6660025366266968,4,46,0,50,0.54,0.5208333333333334,1.0
50,0.5,1000,32000,0.06,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,11,0.7078736355942905,0.6662833416583746,3,47,0,50,0.53,0.5154639175257731,1.0
50,0.5,1000,32000,0.06,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,12,0.7079373250232044,0.6650851381268091,5,45,0,50,0.55,0.5263157894736842,1.0
50,0.5,1000,32000,0.06,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,13,0.7080425520350495,0.6654067985466761,8,42,0,50,0.58,0.5434782608695652,1.0
50,0.5,1000,32000,0.06,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,14,0.7077752512166668,0.6651351281159051,6,44,0,50,0.56,0.5319148936170213,1.0
50,0.5,1000,32000,0.06,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,15,0.708124095448864,0.6646895990797691,6,44,0,50,0.56,0.5319148936170213,1.0
50,0.5,1000,32000,0.06,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,16,0.7082378645837897,0.6676773052728833,7,43,0,50,0.57,0.5376344086021505,1.0
50,0.5,1000,32000,0.06,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,17,0.7083849444943985,0.666114128470624,3,47,0,50,0.53,0.5154639175257731,1.0
50,0.5,1000,32000,0.06,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,18,0.7082054998160967,0.6664814868648816,6,44,0,50,0.56,0.5319148936170213,1.0
50,0.5,1000,32000,0.06,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,19,0.7083233243896888,0.6647986421616683,3,47,0,50,0.53,0.5154639175257731,1.0
50,0.5,1000,32000,0.06,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,20,0.7078700306283406,0.6658226159848057,4,46,0,50,0.54,0.5208333333333334,1.0
50,0.5,1000,32000,0.06,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,21,0.7083387979735974,0.6661331739986995,4,46,0,50,0.54,0.5208333333333334,1.0
50,0.5,1000,32000,0.06,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,22,0.7082061447129105,0.665408124665986,4,46,0,50,0.54,0.5208333333333334,1.0
50,0.5,1000,32000,0.06,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,23,0.7082531082910192,0.6637573693628924,3,47,0,50,0.53,0.5154639175257731,1.0
50,0.5,1000,32000,0.06,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,24,0.7080918674624191,0.6672565362580146,4,46,0,50,0.54,0.5208333333333334,1.0
50,0.5,1000,32000,0.06,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,25,0.7081709066412325,0.6658612308350171,5,45,0,50,0.55,0.5263157894736842,1.0
50,0.5,1000,32000,0.06,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,26,0.7082384492565221,0.6663677664016245,11,39,0,50,0.61,0.5617977528089888,1.0
50,0.5,1000,32000,0.06,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,27,0.7081550444505502,0.6669454322080498,6,44,0,50,0.56,0.5319148936170213,1.0
50,0.5,1000,32000,0.06,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,28,0.7080492148854441,0.6651363251818163,4,46,0,50,0.54,0.5208333333333334,1.0
50,0.5,1000,32000,0.06,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,29,0.7081735956881267,0.6668953688722004,5,45,0,50,0.55,0.5263157894736842,1.0
50,0.5,1000,32000,0.06,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,30,0.7081319481391526,0.6666101529465142,6,44,0,50,0.56,0.5319148936170213,1.0
50,0.5,1000,32000,0.06,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,31,0.7080097451858125,0.665214096690339,5,45,0,50,0.55,0.5263157894736842,1.0
50,0.5,1000,32000,0.06,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,32,0.7079964174659957,0.6640071431201088,4,46,0,50,0.54,0.5208333333333334,1.0
50,0.5,1000,32000,0.06,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,33,0.7080134648607787,0.666338454146081,5,45,0,50,0.55,0.5263157894736842,1.0
50,0.5,1000,32000,0.06,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,34,0.708173414585412,0.665391672434208,5,45,0,50,0.55,0.5263157894736842,1.0
50,0.5,1000,32000,0.06,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,35,0.7079289089372993,0.6670113590843381,9,41,0,50,0.59,0.5494505494505495,1.0
50,0.5,1000,32000,0.06,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,36,0.7079672646426055,0.6649824402963546,3,47,0,50,0.53,0.5154639175257731,1.0
