num_samples,voting_threshold,rounds,input_size,hidden_sizes,first_dropout,middle_dropout,last_dropout,weight_decay,last_non_linearity,middle_non_linearity,non_linearity,input_transform,lr,lr_alpha,lr_steps,input_size_freq,uncertainty_weights,compression,compression_parameter,seed,output_size,batch_size,model_avg_auc_pr,model_avg_logloss,TN,FP,FN,TP,accuracy,precision,recall
50,0.5,1000,32000,[40],0.2,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,0,309,1298,0.706444454811211,0.6724523547331411,29,21,1,49,0.78,0.7,0.98
50,0.5,1000,32000,[40],0.2,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,1,309,1298,0.7055890180575303,0.672594754661524,36,14,0,50,0.86,0.78125,1.0
50,0.5,1000,32000,[40],0.2,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,2,309,1298,0.7056241616702429,0.6727899395985092,33,17,0,50,0.83,0.746268656716418,1.0
50,0.5,1000,32000,[40],0.2,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,3,309,1298,0.7054463061346321,0.6718510255331096,35,15,0,50,0.85,0.7692307692307693,1.0
50,0.5,1000,32000,[40],0.2,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,4,309,1298,0.7056105461498355,0.6727462549837755,39,11,2,48,0.87,0.8135593220338984,0.96
50,0.5,1000,32000,[40],0.2,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,5,309,1298,0.7053559611352259,0.6728693854984404,30,20,1,49,0.79,0.7101449275362319,0.98
50,0.5,1000,32000,[40],0.2,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,6,309,1298,0.7053491740348372,0.6736985351344968,30,20,0,50,0.8,0.7142857142857143,1.0
50,0.5,1000,32000,[40],0.2,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,7,309,1298,0.7056385034011929,0.6725857503457937,33,17,2,48,0.81,0.7384615384615385,0.96
50,0.5,1000,32000,[40],0.2,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,8,309,1298,0.7055378643710563,0.6735923568952644,31,19,0,50,0.81,0.7246376811594203,1.0
50,0.5,1000,32000,[40],0.2,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,9,309,1298,0.7056724019753042,0.6728681562732588,36,14,2,48,0.84,0.7741935483870968,0.96
50,0.5,1000,32000,[40],0.2,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,10,309,1298,0.7058703828843942,0.6726843566830328,32,18,0,50,0.82,0.7352941176470589,1.0
50,0.5,1000,32000,[40],0.2,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,11,309,1298,0.7055659425823118,0.6718339868471963,35,15,0,50,0.85,0.7692307692307693,1.0
50,0.5,1000,32000,[40],0.2,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,12,309,1298,0.7054848829370624,0.6711534430137647,33,17,1,49,0.82,0.7424242424242424,0.98
50,0.5,1000,32000,[40],0.2,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,13,309,1298,0.7060122317932689,0.6720203841206165,38,12,0,50,0.88,0.8064516129032258,1.0
50,0.5,1000,32000,[40],0.2,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,14,309,1298,0.7055903277117602,0.6725173237683102,36,14,0,50,0.86,0.78125,1.0
50,0.5,1000,32000,[40],0.2,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,15,309,1298,0.7053550826685091,0.6732269209164503,29,21,2,48,0.77,0.6956521739130435,0.96
50,0.5,1000,32000,[40],0.2,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,16,309,1298,0.7053889947126456,0.6706553110231159,33,17,0,50,0.83,0.746268656716418,1.0
50,0.5,1000,32000,[40],0.2,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,17,309,1298,0.7059299426030726,0.6721182063562561,32,18,0,50,0.82,0.7352941176470589,1.0
50,0.5,1000,32000,[40],0.2,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,18,309,1298,0.7058736289873468,0.6704968373292255,39,11,0,50,0.89,0.819672131147541,1.0
50,0.5,1000,32000,[40],0.2,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,19,309,1298,0.7056242836965692,0.6726227811422119,32,18,1,49,0.81,0.7313432835820896,0.98
50,0.5,1000,32000,[40],0.2,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,20,309,1298,0.7054611202732565,0.6715432500046753,38,12,1,49,0.87,0.8032786885245902,0.98
50,0.5,1000,32000,[40],0.2,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,21,309,1298,0.7053885154685628,0.6716141744951453,36,14,0,50,0.86,0.78125,1.0
50,0.5,1000,32000,[40],0.2,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,22,309,1298,0.7052323150394426,0.6751039032692165,34,16,0,50,0.84,0.7575757575757576,1.0
50,0.5,1000,32000,[40],0.2,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,23,309,1298,0.7053787570615798,0.6747934804515583,33,17,1,49,0.82,0.7424242424242424,0.98
50,0.5,1000,32000,[40],0.2,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,24,309,1298,0.7058924405118019,0.671464558418118,32,18,1,49,0.81,0.7313432835820896,0.98
50,0.5,1000,32000,[40],0.2,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,25,309,1298,0.7056173798774731,0.672232554686527,36,14,1,49,0.85,0.7777777777777778,0.98
50,0.5,1000,32000,[40],0.2,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,26,309,1298,0.7057856055013499,0.6715148467877662,30,20,0,50,0.8,0.7142857142857143,1.0
50,0.5,1000,32000,[40],0.2,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,27,309,1298,0.7057636456302584,0.6719243633878081,34,16,1,49,0.83,0.7538461538461538,0.98
50,0.5,1000,32000,[40],0.2,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,28,309,1298,0.7055430764166595,0.6710825406666668,27,23,0,50,0.77,0.684931506849315,1.0
50,0.5,1000,32000,[40],0.2,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,29,309,1298,0.7055119015508157,0.6735761096551773,32,18,1,49,0.81,0.7313432835820896,0.98
50,0.5,1000,32000,[40],0.2,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,30,309,1298,0.705588262374102,0.6726846835676338,32,18,1,49,0.81,0.7313432835820896,0.98
50,0.5,1000,32000,[40],0.2,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,31,309,1298,0.7057742968822567,0.6726408967910105,38,12,0,50,0.88,0.8064516129032258,1.0
50,0.5,1000,32000,[40],0.2,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,32,309,1298,0.7057436937340453,0.6710879801487855,35,15,0,50,0.85,0.7692307692307693,1.0
50,0.5,1000,32000,[40],0.2,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,33,309,1298,0.7055920944044822,0.6725643088828016,28,22,0,50,0.78,0.6944444444444444,1.0
50,0.5,1000,32000,[40],0.2,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,34,309,1298,0.7059565797701333,0.6721595878391401,36,14,0,50,0.86,0.78125,1.0
50,0.5,1000,32000,[40],0.2,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,35,309,1298,0.70540943018092,0.6715458015138581,29,21,0,50,0.79,0.704225352112676,1.0
50,0.5,1000,32000,[40],0.2,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,36,309,1298,0.7054798247469471,0.6717801092515264,31,19,2,48,0.79,0.7164179104477612,0.96
50,0.5,1000,32000,[40],0.2,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,37,309,1298,0.7054012745238452,0.6723909875468609,32,18,0,50,0.82,0.7352941176470589,1.0
50,0.5,1000,32000,[40],0.2,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,38,309,1298,0.7055289297710688,0.671964720471897,35,15,0,50,0.85,0.7692307692307693,1.0
50,0.5,1000,32000,[40],0.2,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,39,309,1298,0.7060623976012652,0.6720724073425517,35,15,1,49,0.84,0.765625,0.98
50,0.5,1000,32000,[40],0.2,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,40,309,1298,0.7056780623351087,0.6725405614155753,36,14,2,48,0.84,0.7741935483870968,0.96
50,0.5,1000,32000,[40],0.2,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,41,309,1298,0.7056573979807175,0.6743126166311175,35,15,0,50,0.85,0.7692307692307693,1.0
50,0.5,1000,32000,[40],0.2,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,42,309,1298,0.705582124790376,0.6721575450173949,37,13,0,50,0.87,0.7936507936507936,1.0
50,0.5,1000,32000,[40],0.2,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,43,309,1298,0.7054721550465288,0.6709752885629784,27,23,0,50,0.77,0.684931506849315,1.0
50,0.5,1000,32000,[40],0.2,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,44,309,1298,0.7053405550214452,0.6725976313137727,34,16,1,49,0.83,0.7538461538461538,0.98
50,0.5,1000,32000,[40],0.2,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,45,309,1298,0.7058949203000996,0.6731908935300414,31,19,0,50,0.81,0.7246376811594203,1.0
50,0.5,1000,32000,[40],0.2,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,46,309,1298,0.7055268526625589,0.6726679395769845,40,10,1,49,0.89,0.8305084745762712,0.98
50,0.5,1000,32000,[40],0.2,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,47,309,1298,0.7056339217078058,0.6704966774828325,31,19,1,49,0.8,0.7205882352941176,0.98
50,0.5,1000,32000,[40],0.2,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,48,309,1298,0.7055006991777436,0.6730247920675534,31,19,1,49,0.8,0.7205882352941176,0.98
50,0.5,1000,32000,[40],0.2,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,49,309,1298,0.7051373343813954,0.6728692736937713,32,18,1,49,0.81,0.7313432835820896,0.98
50,0.5,1000,32000,[40],0.4,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,0,309,1298,0.7012621987065639,0.6755632352683805,38,12,12,38,0.76,0.76,0.76
50,0.5,1000,32000,[40],0.4,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,1,309,1298,0.700272207071537,0.6756385250272634,44,6,13,37,0.81,0.8604651162790697,0.74
50,0.5,1000,32000,[40],0.4,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,2,309,1298,0.6995326738292456,0.6760304421003653,43,7,12,38,0.81,0.8444444444444444,0.76
50,0.5,1000,32000,[40],0.4,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,3,309,1298,0.6998523617745132,0.675800324213304,41,9,17,33,0.74,0.7857142857142857,0.66
50,0.5,1000,32000,[40],0.4,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,4,309,1298,0.6997347635139928,0.6760257139168835,44,6,15,35,0.79,0.8536585365853658,0.7
