num_samples,n_estimators,rounds,input_size,hidden_sizes,first_dropout,middle_dropout,last_dropout,weight_decay,last_non_linearity,middle_non_linearity,non_linearity,input_transform,lr,lr_alpha,lr_steps,input_size_freq,uncertainty_weights,compression,compression_parameter,seed,output_size,batch_size,model_avg_auc_pr,model_avg_logloss,TN,FP,FN,TP,accuracy,precision,recall
500,100,1000,32000,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,quantization,,0,309,1298,0.5287760127475721,0.7083603172037046,94,71,65,100,0.5878787878787879,0.5847953216374269,0.6060606060606061
500,100,1000,32000,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,quantization,,1,309,1298,0.5287760127475721,0.708360284243888,89,76,66,99,0.5696969696969697,0.5657142857142857,0.6
500,100,1000,32000,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,quantization,,2,309,1298,0.5287760127475721,0.7083603202240477,86,79,59,106,0.5818181818181818,0.572972972972973,0.6424242424242425
500,100,1000,32000,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,quantization,,3,309,1298,0.5287760127475721,0.7083602643251763,91,74,63,102,0.5848484848484848,0.5795454545454546,0.6181818181818182
500,100,1000,32000,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,quantization,,4,309,1298,0.5287760127475721,0.7083602688536195,95,70,64,101,0.593939393939394,0.5906432748538012,0.6121212121212121
500,100,1000,32000,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,quantization,,5,309,1298,0.5287760127475721,0.7083602404721747,91,74,62,103,0.5878787878787879,0.5819209039548022,0.6242424242424243
500,100,1000,32000,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,quantization,,6,309,1298,0.5287760127475721,0.708360289566896,87,78,62,103,0.5757575757575758,0.569060773480663,0.6242424242424243
500,100,1000,32000,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,quantization,,7,309,1298,0.5287760127475721,0.7083603173412681,99,66,58,107,0.6242424242424243,0.6184971098265896,0.6484848484848484
500,100,1000,32000,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,quantization,,8,309,1298,0.5287760127475721,0.7083603026785308,88,77,60,105,0.5848484848484848,0.5769230769230769,0.6363636363636364
500,100,1000,32000,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,quantization,,9,309,1298,0.5287760127475721,0.7083603376876578,95,70,66,99,0.5878787878787879,0.5857988165680473,0.6
500,100,1000,32000,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,quantization,,10,309,1298,0.5287760127475721,0.7083602823726789,88,77,66,99,0.5666666666666667,0.5625,0.6
500,100,1000,32000,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,quantization,,11,309,1298,0.5287760127475721,0.7083602830063664,101,64,66,99,0.6060606060606061,0.6073619631901841,0.6
500,100,1000,32000,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,quantization,,12,309,1298,0.5287760127475721,0.7083603188857323,92,73,57,108,0.6060606060606061,0.5966850828729282,0.6545454545454545
500,100,1000,32000,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,quantization,,13,309,1298,0.5287760127475721,0.708360278264729,90,75,68,97,0.5666666666666667,0.563953488372093,0.5878787878787879
500,100,1000,32000,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,quantization,,14,309,1298,0.5287760127475721,0.7083602937892283,88,77,60,105,0.5848484848484848,0.5769230769230769,0.6363636363636364
500,100,1000,32000,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,quantization,,15,309,1298,0.5287760127475721,0.7083603498143957,90,75,65,100,0.5757575757575758,0.5714285714285714,0.6060606060606061
