num_samples,n_estimators,rounds,input_size,hidden_sizes,middle_dropout,last_dropout,weight_decay,last_non_linearity,middle_non_linearity,non_linearity,input_transform,lr,lr_alpha,lr_steps,input_size_freq,uncertainty_weights,seed,output_size,batch_size,model_avg_auc_pr,model_avg_logloss,TN,FP,FN,TP,accuracy,precision,recall
500,100,1000,32000,[40],0.2,0.2,1e-06,tanh,tanh,tanh,binarize,0.001,0.3,[10],32000,False,0,309,1298,0.6915955904421038,0.6666763861157333,102,63,67,98,0.6060606060606061,0.6086956521739131,0.593939393939394
500,100,1000,32000,[40],0.2,0.2,1e-06,tanh,tanh,tanh,binarize,0.001,0.3,[10],32000,False,1,309,1298,0.6915955904421038,0.6666763463865426,92,73,72,93,0.5606060606060606,0.5602409638554217,0.5636363636363636
500,100,1000,32000,[40],0.2,0.2,1e-06,tanh,tanh,tanh,binarize,0.001,0.3,[10],32000,False,2,309,1298,0.6915955904421038,0.6666763332019506,98,67,66,99,0.5969696969696969,0.5963855421686747,0.6
500,100,1000,32000,[40],0.2,0.2,1e-06,tanh,tanh,tanh,binarize,0.001,0.3,[10],32000,False,3,309,1298,0.6915955904421038,0.6666763422737638,95,70,67,98,0.5848484848484848,0.5833333333333334,0.593939393939394
500,100,1000,32000,[40],0.2,0.2,1e-06,tanh,tanh,tanh,binarize,0.001,0.3,[10],32000,False,4,309,1298,0.6915955904421038,0.666676328466034,102,63,58,107,0.6333333333333333,0.6294117647058823,0.6484848484848484
500,100,1000,32000,[40],0.2,0.2,1e-06,tanh,tanh,tanh,binarize,0.001,0.3,[10],32000,False,5,309,1298,0.6915955904421038,0.666676356667901,100,65,61,104,0.6181818181818182,0.6153846153846154,0.6303030303030303
500,100,1000,32000,[40],0.2,0.2,1e-06,tanh,tanh,tanh,binarize,0.001,0.3,[10],32000,False,6,309,1298,0.6915955904421038,0.6666763378122813,94,71,53,112,0.6242424242424243,0.6120218579234973,0.6787878787878788
500,100,1000,32000,[40],0.2,0.2,1e-06,tanh,tanh,tanh,binarize,0.001,0.3,[10],32000,False,7,309,1298,0.6915955904421038,0.6666763437352097,93,72,60,105,0.6,0.5932203389830508,0.6363636363636364
500,100,1000,32000,[40],0.2,0.2,1e-06,tanh,tanh,tanh,binarize,0.001,0.3,[10],32000,False,8,309,1298,0.6915955904421038,0.6666763534793214,96,69,60,105,0.6090909090909091,0.603448275862069,0.6363636363636364
500,100,1000,32000,[40],0.2,0.2,1e-06,tanh,tanh,tanh,binarize,0.001,0.3,[10],32000,False,9,309,1298,0.6915955904421038,0.6666763520377033,97,68,64,101,0.6,0.5976331360946746,0.6121212121212121
500,100,1000,32000,[40],0.2,0.2,1e-06,tanh,tanh,tanh,binarize,0.001,0.3,[10],32000,False,10,309,1298,0.6915955904421038,0.6666763416878876,92,73,54,111,0.6151515151515151,0.6032608695652174,0.6727272727272727
500,100,1000,32000,[40],0.2,0.2,1e-06,tanh,tanh,tanh,binarize,0.001,0.3,[10],32000,False,11,309,1298,0.6915955904421038,0.6666763362195063,99,66,54,111,0.6363636363636364,0.6271186440677966,0.6727272727272727
500,100,1000,32000,[40],0.2,0.2,1e-06,tanh,tanh,tanh,binarize,0.001,0.3,[10],32000,False,12,309,1298,0.6915955904421038,0.6666763410382492,90,75,60,105,0.5909090909090909,0.5833333333333334,0.6363636363636364
500,100,1000,32000,[40],0.2,0.2,1e-06,tanh,tanh,tanh,binarize,0.001,0.3,[10],32000,False,13,309,1298,0.6915955904421038,0.66667634187256,95,70,62,103,0.6,0.5953757225433526,0.6242424242424243
500,100,1000,32000,[40],0.2,0.2,1e-06,tanh,tanh,tanh,binarize,0.001,0.3,[10],32000,False,14,309,1298,0.6915955904421038,0.6666763117652776,97,68,69,96,0.5848484848484848,0.5853658536585366,0.5818181818181818
500,100,1000,32000,[40],0.2,0.2,1e-06,tanh,tanh,tanh,binarize,0.001,0.3,[10],32000,False,15,309,1298,0.6915955904421038,0.666676304238349,98,67,57,108,0.6242424242424243,0.6171428571428571,0.6545454545454545
500,100,1000,32000,[40],0.2,0.2,1e-06,tanh,tanh,tanh,binarize,0.001,0.3,[10],32000,False,16,309,1298,0.6915955904421038,0.6666763386005793,100,65,60,105,0.6212121212121212,0.6176470588235294,0.6363636363636364
500,100,1000,32000,[40],0.2,0.2,1e-06,tanh,tanh,tanh,binarize,0.001,0.3,[10],32000,False,17,309,1298,0.6915955904421038,0.6666763265095073,98,67,54,111,0.6333333333333333,0.6235955056179775,0.6727272727272727
500,100,1000,32000,[40],0.2,0.2,1e-06,tanh,tanh,tanh,binarize,0.001,0.3,[10],32000,False,18,309,1298,0.6915955904421038,0.6666763299942696,95,70,60,105,0.6060606060606061,0.6,0.6363636363636364
500,100,1000,32000,[40],0.2,0.2,1e-06,tanh,tanh,tanh,binarize,0.001,0.3,[10],32000,False,19,309,1298,0.6915955904421038,0.6666763333926591,97,68,61,104,0.6090909090909091,0.6046511627906976,0.6303030303030303
500,100,1000,32000,[40],0.2,0.2,1e-06,tanh,tanh,tanh,binarize,0.001,0.3,[10],32000,False,20,309,1298,0.6915955904421038,0.6666763648606351,102,63,65,100,0.6121212121212121,0.6134969325153374,0.6060606060606061
500,100,1000,32000,[40],0.2,0.2,1e-06,tanh,tanh,tanh,binarize,0.001,0.3,[10],32000,False,21,309,1298,0.6915955904421038,0.6666763474181536,99,66,56,109,0.6303030303030303,0.6228571428571429,0.6606060606060606
500,100,1000,32000,[40],0.2,0.2,1e-06,tanh,tanh,tanh,binarize,0.001,0.3,[10],32000,False,22,309,1298,0.6915955904421038,0.6666763515894333,99,66,68,97,0.593939393939394,0.5950920245398773,0.5878787878787879
500,100,1000,32000,[40],0.2,0.2,1e-06,tanh,tanh,tanh,binarize,0.001,0.3,[10],32000,False,23,309,1298,0.6915955904421038,0.6666763244528702,96,69,67,98,0.5878787878787879,0.5868263473053892,0.593939393939394
500,100,1000,32000,[40],0.2,0.2,1e-06,tanh,tanh,tanh,binarize,0.001,0.3,[10],32000,False,24,309,1298,0.6915955904421038,0.6666762860084028,101,64,69,96,0.5969696969696969,0.6,0.5818181818181818
500,100,1000,32000,[40],0.2,0.2,1e-06,tanh,tanh,tanh,binarize,0.001,0.3,[10],32000,False,25,309,1298,0.6915955904421038,0.6666763262103912,96,69,62,103,0.603030303030303,0.5988372093023255,0.6242424242424243
500,100,1000,32000,[40],0.2,0.2,1e-06,tanh,tanh,tanh,binarize,0.001,0.3,[10],32000,False,26,309,1298,0.6915955904421038,0.6666763256759045,94,71,57,108,0.6121212121212121,0.6033519553072626,0.6545454545454545
500,100,1000,32000,[40],0.2,0.2,1e-06,tanh,tanh,tanh,binarize,0.001,0.3,[10],32000,False,27,309,1298,0.6915955904421038,0.6666763460303063,98,67,60,105,0.6151515151515151,0.6104651162790697,0.6363636363636364
500,100,1000,32000,[40],0.2,0.2,1e-06,tanh,tanh,tanh,binarize,0.001,0.3,[10],32000,False,28,309,1298,0.6915955904421038,0.6666763374696553,96,69,70,95,0.5787878787878787,0.5792682926829268,0.5757575757575758
500,100,1000,32000,[40],0.2,0.2,1e-06,tanh,tanh,tanh,binarize,0.001,0.3,[10],32000,False,29,309,1298,0.6915955904421038,0.6666763145527304,96,69,63,102,0.6,0.5964912280701754,0.6181818181818182
500,100,1000,32000,[40],0.2,0.2,1e-06,tanh,tanh,tanh,binarize,0.001,0.3,[10],32000,False,30,309,1298,0.6915955904421038,0.66667637944879,93,72,53,112,0.6212121212121212,0.6086956521739131,0.6787878787878788
500,100,1000,32000,[40],0.2,0.2,1e-06,tanh,tanh,tanh,binarize,0.001,0.3,[10],32000,False,31,309,1298,0.6915955904421038,0.6666763348708001,93,72,64,101,0.5878787878787879,0.5838150289017341,0.6121212121212121
500,100,1000,32000,[40],0.2,0.2,1e-06,tanh,tanh,tanh,binarize,0.001,0.3,[10],32000,False,32,309,1298,0.6915955904421038,0.6666763454505714,95,70,64,101,0.593939393939394,0.5906432748538012,0.6121212121212121
500,100,1000,32000,[40],0.2,0.2,1e-06,tanh,tanh,tanh,binarize,0.001,0.3,[10],32000,False,33,309,1298,0.6915955904421038,0.6666763346685715,96,69,65,100,0.593939393939394,0.591715976331361,0.6060606060606061
