num_samples,n_estimators,rounds,input_size,hidden_sizes,first_dropout,middle_dropout,last_dropout,weight_decay,last_non_linearity,middle_non_linearity,non_linearity,input_transform,lr,lr_alpha,lr_steps,input_size_freq,uncertainty_weights,compression,compression_parameter,seed,output_size,batch_size,model_avg_auc_pr,model_avg_logloss,TN,FP,FN,TP,accuracy,precision,recall
500,100,1000,32000,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,top-k,0.2,0,309,1298,0.5514462856264114,0.7298599760735837,88,77,64,101,0.5727272727272728,0.5674157303370787,0.6121212121212121
500,100,1000,32000,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,top-k,0.2,1,309,1298,0.5514462856264114,0.7298599305499915,82,83,57,108,0.5757575757575758,0.5654450261780105,0.6545454545454545
500,100,1000,32000,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,top-k,0.2,2,309,1298,0.5514462856264114,0.7298599312892023,82,83,59,106,0.5696969696969697,0.5608465608465608,0.6424242424242425
500,100,1000,32000,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,top-k,0.2,3,309,1298,0.5514462856264114,0.7298599493279804,85,80,58,107,0.5818181818181818,0.5721925133689839,0.6484848484848484
500,100,1000,32000,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,top-k,0.2,4,309,1298,0.5514462856264114,0.7298599039103897,83,82,61,104,0.5666666666666667,0.5591397849462365,0.6303030303030303
500,100,1000,32000,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,top-k,0.2,5,309,1298,0.5514462856264114,0.7298600033907469,81,84,59,106,0.5666666666666667,0.5578947368421052,0.6424242424242425
500,100,1000,32000,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,top-k,0.2,6,309,1298,0.5514462856264114,0.7298599406808777,82,83,53,112,0.5878787878787879,0.5743589743589743,0.6787878787878788
500,100,1000,32000,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,top-k,0.2,7,309,1298,0.5514462856264114,0.729859927301076,85,80,61,104,0.5727272727272728,0.5652173913043478,0.6303030303030303
500,100,1000,32000,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,top-k,0.2,8,309,1298,0.5514462856264114,0.7298599326853246,81,84,56,109,0.5757575757575758,0.5647668393782384,0.6606060606060606
500,100,1000,32000,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,top-k,0.2,9,309,1298,0.5514462856264114,0.7298599362341235,83,82,54,111,0.5878787878787879,0.5751295336787565,0.6727272727272727
500,100,1000,32000,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,top-k,0.2,10,309,1298,0.5514462856264114,0.7298598718933719,86,79,56,109,0.5909090909090909,0.5797872340425532,0.6606060606060606
500,100,1000,32000,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,top-k,0.2,11,309,1298,0.5514462856264114,0.7298599360615109,83,82,61,104,0.5666666666666667,0.5591397849462365,0.6303030303030303
